session_id,nb_idles,nb_responses,nb_correct,nb_help,taux_reussite,temps_moyen_reponse,duree_secondes,nb_interactions,score_engagement,etat_affectif
baf58228-207e-4de7-93a0-dff4b1cb9c88,0,9,5,0,0.556,30.3,354,9,0.66,neutre
be102ed0-494c-4820-a88b-b5eda12bffa7,0,0,0,0,0,0,6,0,0.5,neutre
a656be4f-1dab-48f6-a61d-5ab4923d8146,1,0,0,0,0,0,211,29,0.527,neutre
b0993969-bee3-45b3-8924-f5054175ada0,0,7,1,0,0.143,31.7,352,180,0.479,neutre
2b60216d-ee16-4741-8759-329ed0426b38,0,0,0,0,0,0,8,0,0.5,neutre
d8b9aa4f-2c3d-45f9-9de7-e62f2111bfb8,1,1,0,0,0.0,74.0,81,56,0.553,neutre
82930ee8-2bdb-4c10-845e-3e9c3ef15f9b,0,0,0,0,0,0,4,0,0.5,neutre
e3dace84-f28f-459f-9560-762368c4b772,0,0,0,0,0,0,49,15,0.599,neutre
9166d52e-2160-49de-aca6-20871825e3aa,1,0,0,0,0,0,178,1,0.38,engagement_faible
6105b171-a3cf-462b-8017-1d9c21047745,1,0,0,0,0,0,80,16,0.471,neutre
f2759491-67fd-4276-91a6-669dbe818481,1,0,0,0,0,0,94,38,0.575,neutre
a4144135-ae9f-49fa-aba9-3aac4e46104e,3,0,0,0,0,0,950,4,0.14,ennui
9e004908-7b02-487f-af49-71fc2153253e,1,0,0,0,0,0,198,37,0.597,frustration
7f1252d4-729d-4748-a580-15fe4a2edf60,1,0,0,0,0,0,78,31,0.461,neutre
5d7b9608-6ecc-4d1e-afbf-8946d30c3a26,0,8,8,0,1.0,14.5,186,100,0.793,engagement_eleve
6fa946bd-bd5a-4e19-adbe-20913946d688,1,0,0,0,0,0,504,1,0.38,engagement_faible
05be70ea-4942-464b-a149-68ad457e27ab,0,0,0,0,0,0,21,0,0.5,neutre
36592dcc-19aa-4823-84cc-ac0be622b126,0,0,0,0,0,0,5,0,0.5,neutre
089d746f-ebe2-4cb6-9bf0-73ea0f5db4e1,0,2,2,0,1.0,37.0,83,92,0.364,engagement_faible
f2448bd5-8036-4e32-b9f7-1d404d5aa0ff,0,0,0,0,0,0,10,0,0.5,neutre
b05fa61e-03fa-409d-829f-1e73fd7ea6af,0,9,3,0,0.333,42.7,491,10,0.38,engagement_faible
11f6f539-0ed0-4f20-adbb-14dd652cd6e9,0,1,0,0,0.0,6.0,23,1,0.44,neutre
3a3d9e5e-7581-41f8-8ef8-d9f1d519f6ed,0,0,0,0,0,0,34,0,0.5,neutre
3fc145ea-a715-4846-b5c4-03e258ac7e8f,0,2,0,0,0.0,5.0,44,2,0.38,engagement_faible
109b1d53-a21d-4e96-b30c-695d51b21525,0,6,0,0,0.0,15.7,127,64,0.266,engagement_faible
d09ab92e-db17-4b77-a762-6d30a587ff25,0,1,0,0,0.0,11.0,92,1,0.44,neutre
8125d04b-62ad-473f-a1e1-39ee340c70a9,0,0,0,0,0,0,12,1,0.5,neutre
d352f47d-716c-46f5-b45e-1dc1f2b5ffae,0,8,8,0,1.0,10.9,189,69,0.805,engagement_eleve
985d7e80-68a8-482e-aecb-eb423bdedae0,2,0,0,0,0,0,542,3,0.26,ennui
4105de9e-09e8-44e5-abd4-30b36e08522c,0,0,0,0,0,0,69,17,0.395,engagement_faible
a6f44f25-533b-458a-b331-e9ad076a36c6,0,0,0,0,0,0,58,25,0.55,neutre
6f4a1482-05c6-446b-a607-a7d6d176c1aa,0,1,0,0,0.0,4.0,95,1,0.44,neutre
b03fd60b-315a-4e90-99d6-5c3d949150c2,0,2,1,0,0.5,22.0,83,2,0.52,neutre
5263016b-6aef-4f39-9e9d-07d605c67ea0,1,7,1,2,0.143,50.4,491,240,0.337,engagement_faible
